Launch_Id,Launch_Time,Launch_Status,Launch_Suborbital,Rocket_Name,Rocket_Organisation,Rocket_Price,Rocket_Payload_to_LEO,Location,Launch_Year,Launch_Year_Mon,USD_kg_to_LEO,X2021_Mult,USD_kg_to_LEO_CPI_Adjusted,Rocket_Price_CPI_Adjusted,Dum,Family_Id,Config_Number,Config_Status,Config_Price,Liftoff_Thrust,Payload_to_LEO,Payload_to_GTO,Stages,Strap_Ons,Rocket_Height,Fairing_Diameter,Fairing_Height,Mission_Number,Payloads,Mass
3,2018-05-22T19:47:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-05,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,5,4800
3,2018-05-22T19:47:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-05,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,2,2,1160
4,2018-06-04T04:45:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-06,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,5400
5,2018-02-06T20:45:00Z,Success,Orbital,Falcon Heavy,SpaceX,90,63800,"LC-39A, Kennedy Space Center, Florida, USA",2018,2018-02,14106.583072100311,1.079101737506322,15222.43830338072,97.119156375569,1,104,1,Active,$90.0 million,"22,819 kN","63,800 kg","26,700 kg",2,2,70.0 m,5.2 m,13.0 m,1,1,1300
6,2018-06-29T09:42:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-06,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,8047
7,2018-04-18T22:51:00Z,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-04,27192.98245614035,1.079101737506322,29343.99461639999,66.90430772539197,1,3,4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m,1,1,362
9,2010-06-04T18:45:00Z,Success,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2010,2010-06,56937.799043062194,1.2426624353377114,70754.46402162088,73.93841490259382,1,3,1,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m,1,1,NA
10,2010-12-08T15:43:00Z,Success,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2010,2010-12,56937.799043062194,1.2426624353377114,70754.46402162088,73.93841490259382,1,3,1,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m,1,1,NA
10,2010-12-08T15:43:00Z,Success,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2010,2010-12,56937.799043062194,1.2426624353377114,70754.46402162088,73.93841490259382,1,3,1,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m,2,8,25
11,2012-05-22T07:44:00Z,Success,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2012,2012-05,56937.799043062194,1.1802137686524912,67198.77438739064,70.22271923482323,1,3,1,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m,1,1,6650
